movie_name,year,duration,imdb_rating,vote_count,metascore,storyline,url
Is This Thing On?,2025,2h 1m,6.7,12K,72,"As their marriage unravels, Alex faces middle age and divorce, seeking new purpose in the New York comedy scene. Meanwhile, his wife Tess confronts sacrifices made for their family, forcing them to navigate co-parenting and identities.",https://www.imdb.com/title/tt28083456/
Harry Potter and the Sorcerer's Stone,2001,2h 32m,7.7,948K,65,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",https://www.imdb.com/title/tt0241527/
The Secret Agent,2025,2h 41m,7.2,50K,91,"Amid the political turmoil of 1977 Brazil, a technology expert is forced into hiding and seeks help from the underground resistance as he tries to flee the country with his young son.",https://www.imdb.com/title/tt27847051/
The Godfather,1972,2h 55m,9.2,2.2M,100,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,https://www.imdb.com/title/tt0068646/
Roofman,2025,2h 6m,6.9,69K,66,"A charismatic criminal, while on the run from the police, hides in a hidden space of a toy store. There, he adopts a new identity and becomes involved with an employee, beginning a relationship as unlikely as it is risky.",https://www.imdb.com/title/tt4627382/
The Super Mario Bros. Movie,2023,1h 32m,7.0,289K,46,"Brooklyn plumbers Mario and Luigi are warped to the magical Mushroom Kingdom, and Mario must team up with Princess Peach, Toad, and Donkey Kong to save Luigi from the evil Bowser.",https://www.imdb.com/title/tt6718170/
Avatar: Fire and Ash,2025,3h 17m,7.3,146K,61,"Jake and Neytiri's family grapples with grief, encountering a new, aggressive Na'vi tribe, the Ash People, who are led by the fiery Varang, as the conflict on Pandora escalates and a new moral focus emerges.",https://www.imdb.com/title/tt1757678/
Back to the Future,1985,1h 56m,8.5,1.4M,88,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",https://www.imdb.com/title/tt0088763/
The Bride!,2026,2h 6m,5.8,16K,55,"In 1930s Chicago, Frankenstein asks Dr. Euphronius to help create a companion. They give life to a murdered woman as the Bride, sparking romance, police interest, and radical social change.",https://www.imdb.com/title/tt30851137/
Predator: Badlands,2025,1h 47m,7.2,140K,71,A young Predator outcast from his clan finds an unlikely ally on his journey in search of the ultimate adversary.,https://www.imdb.com/title/tt31227572/
